region_id,estimation_id,overriden_name,overriden_value,specified_by,original_value
27,0,dependent_iterations_distance,inf,assumed,inf
27,0,has_dependency,False,assumed,True
27,0,dependency_type,Parallel: Assumed,assumed,
27,0,dependency_key,parallel_assumed,assumed,
7,0,dependent_iterations_distance,inf,assumed,inf
7,0,has_dependency,False,assumed,True
7,0,dependency_type,Parallel: Assumed,assumed,
7,0,dependency_key,parallel_assumed,assumed,
30,0,dependent_iterations_distance,inf,assumed,inf
30,0,has_dependency,False,assumed,True
30,0,dependency_type,Parallel: Assumed,assumed,
30,0,dependency_key,parallel_assumed,assumed,
31,0,dependent_iterations_distance,inf,assumed,inf
31,0,has_dependency,False,assumed,True
31,0,dependency_type,Parallel: Assumed,assumed,
31,0,dependency_key,parallel_assumed,assumed,
20,0,dependent_iterations_distance,inf,assumed,inf
20,0,has_dependency,False,assumed,True
20,0,dependency_type,Parallel: Assumed,assumed,
20,0,dependency_key,parallel_assumed,assumed,
