region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
27,0,int32,5418754183.713745,3146752.0,0.12129943948843451
27,0,int64,0.0,0,0.0
27,0,float32,0.0,0,0.0
27,0,float64,7222654453.788318,4194304.0,0.1616799557906371
7,0,int32,5416990840.341238,3145728.0,0.12125996684297782
7,0,int64,0.0,0,0.0
7,0,float32,0.0,0,0.0
7,0,float64,7222654453.788318,4194304.0,0.1616799557906371
30,0,int32,12971734838.484236,5371855872.0,1.2024164523950214
30,0,int64,0.0,0,0.0
30,0,float32,0.0,0,0.0
30,0,float64,5185654476.888545,2147483648.0,0.4806848380023847
31,0,int32,12971732365.771492,5371854848.0,1.2024162231866293
31,0,int64,0.0,0,0.0
31,0,float32,0.0,0,0.0
31,0,float64,5185654476.888545,2147483648.0,0.4806848380023847
20,0,int32,12964136192.221361,5368709120.0,1.2017120950059617
20,0,int64,0.0,0,0.0
20,0,float32,0.0,0,0.0
20,0,float64,5185654476.888545,2147483648.0,0.4806848380023847
