region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
36,0,int32,5264285313.231421,3146752.0,0.11755629651371974
36,0,int64,0.0,0,0.0
36,0,float32,0.0,0,0.0
36,0,float64,7016762981.775432,4194304.0,0.15669072259036643
7,0,int32,5262572236.331574,3145728.0,0.11751804194277482
7,0,int64,0.0,0,0.0
7,0,float32,0.0,0,0.0
7,0,float64,7016762981.775432,4194304.0,0.15669072259036643
39,0,int32,12950873481.576763,5371855872.0,1.045500401781871
39,0,int64,0.0,0,0.0
39,0,float32,0.0,0,0.0
39,0,float64,5177314822.232618,2147483648.0,0.417955185377691
40,0,int32,12950871012.840675,5371854848.0,1.045500202485308
40,0,int64,0.0,0,0.0
40,0,float32,0.0,0,0.0
40,0,float64,5177314822.232618,2147483648.0,0.417955185377691
23,0,int32,12943287055.581547,5368709120.0,1.0448879634442274
23,0,int64,0.0,0,0.0
23,0,float32,0.0,0,0.0
23,0,float64,5177314822.232618,2147483648.0,0.417955185377691
